"BehaviorSpace results (NetLogo 6.0.1)"
"pollution.nlogo"
"experiment"
"08/16/2018 16:05:58:533 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","punishedTurtlesWeight","surroundingWasteWeight","punishedCounterWeight","cleaningAmount","agentNumber","wasteAmount","[step]","mean [pollution] of patches"
"255","0","0.25","0.75","0.02","300","15","1000","99.52110192837475"
"256","0","0.25","0.75","0.02","300","15","1000","99.5496235078055"
"257","0","0.25","0.75","0.02","300","15","1000","99.53182736455466"
"258","0","0.25","0.75","0.02","300","15","1000","99.52980716253434"
"259","0","0.25","0.75","0.02","300","15","1000","99.52955004591367"
"260","0","0.25","0.75","0.02","300","15","1000","99.48543617998173"
"261","0","0.25","0.75","0.02","300","15","1000","99.539614325069"
"262","0","0.25","0.75","0.02","300","15","1000","99.4914784205694"
"263","0","0.25","0.75","0.02","300","15","1000","99.49954086317734"
"264","0","0.25","0.75","0.02","300","15","1000","99.51652892561975"
"266","0","0.25","0.75","0.02","300","15","1000","99.51168044077158"
"265","0","0.25","0.75","0.02","300","15","1000","99.49768595041324"
"267","0","0.25","0.75","0.02","300","15","1000","99.50170798898083"
"268","0","0.25","0.75","0.02","300","15","1000","99.5113498622591"
"269","0","0.25","0.75","0.02","300","15","1000","99.5119926538109"
"270","0","0.25","0.75","0.02","300","15","1000","99.53403122130395"
"271","0","0.25","1","0.02","300","15","1000","99.46655647382929"
"273","0","0.25","1","0.02","300","15","1000","96.65981634527095"
"272","0","0.25","1","0.02","300","15","1000","97.32756657483932"
"274","0","0.25","1","0.02","300","15","1000","99.44993572084485"
"275","0","0.25","1","0.02","300","15","1000","97.61687786960528"
"276","0","0.25","1","0.02","300","15","1000","99.4947658402203"
"277","0","0.25","1","0.02","300","15","1000","96.88701561065214"
"278","0","0.25","1","0.02","300","15","1000","98.34056932966025"
"279","0","0.25","1","0.02","300","15","1000","97.720055096419"
"280","0","0.25","1","0.02","300","15","1000","99.49831037649219"
"281","0","0.25","1","0.02","300","15","1000","99.39680440771369"
"282","0","0.25","1","0.02","300","15","1000","98.9940128558312"
"283","0","0.25","1","0.02","300","15","1000","99.52477502295696"
"284","0","0.25","1","0.02","300","15","1000","99.4679522497704"
"285","0","0.25","1","0.02","300","15","1000","99.38958677685956"
"286","0","0.25","1","0.02","300","15","1000","99.48532598714438"
"287","0","0.25","1","0.02","300","15","1000","97.07175390266299"
"288","0","0.25","1","0.02","300","15","1000","99.4525987144171"
"289","0","0.25","1","0.02","300","15","1000","99.39651056014715"
"290","0","0.25","1","0.02","300","15","1000","97.56997245179082"
"291","0","0.25","1","0.02","300","15","1000","98.77630853994488"
"292","0","0.25","1","0.02","300","15","1000","99.29474747474737"
"293","0","0.25","1","0.02","300","15","1000","99.46365472910945"
"294","0","0.25","1","0.02","300","15","1000","99.44431588613433"
"295","0","0.25","1","0.02","300","15","1000","98.0974839302112"
"296","0","0.25","1","0.02","300","15","1000","97.21926538108362"
"297","0","0.25","1","0.02","300","15","1000","99.17485766758512"
"298","0","0.25","1","0.02","300","15","1000","99.48249770431588"
"299","0","0.25","1","0.02","300","15","1000","99.29146005509652"
"300","0","0.25","1","0.02","300","15","1000","98.88846648301197"
"301","0","0.5","0","0.02","300","15","1000","99.78047750229587"
"302","0","0.5","0","0.02","300","15","1000","99.78596877869622"
"303","0","0.5","0","0.02","300","15","1000","99.78106519742896"
"304","0","0.5","0","0.02","300","15","1000","99.78655647382911"
"305","0","0.5","0","0.02","300","15","1000","99.76852157943077"
"306","0","0.5","0","0.02","300","15","1000","99.76866850321403"
"307","0","0.5","0","0.02","300","15","1000","99.77959595959604"
"308","0","0.5","0","0.02","300","15","1000","99.7822589531681"
"309","0","0.5","0","0.02","300","15","1000","99.78139577594123"
"310","0","0.5","0","0.02","300","15","1000","99.78202020202026"
"311","0","0.5","0","0.02","300","15","1000","99.77737373737398"
"312","0","0.5","0","0.02","300","15","1000","99.78066115702488"
"313","0","0.5","0","0.02","300","15","1000","99.78277318640964"
"314","0","0.5","0","0.02","300","15","1000","99.77377410468326"
"315","0","0.5","0","0.02","300","15","1000","99.7759963269054"
"316","0","0.5","0","0.02","300","15","1000","99.78887052341604"
"317","0","0.5","0","0.02","300","15","1000","99.776326905418"
"318","0","0.5","0","0.02","300","15","1000","99.78385674931145"
"319","0","0.5","0","0.02","300","15","1000","99.78615243342523"
"320","0","0.5","0","0.02","300","15","1000","99.7846280991737"
"321","0","0.5","0","0.02","300","15","1000","99.78598714416914"
"322","0","0.5","0","0.02","300","15","1000","99.78224058769528"
"323","0","0.5","0","0.02","300","15","1000","99.77291092745648"
"324","0","0.5","0","0.02","300","15","1000","99.77713498622589"
"325","0","0.5","0","0.02","300","15","1000","99.77386593204785"
"326","0","0.5","0","0.02","300","15","1000","99.78157943067043"
"327","0","0.5","0","0.02","300","15","1000","99.77812672176321"
"328","0","0.5","0","0.02","300","15","1000","99.78214876033073"
"330","0","0.5","0","0.02","300","15","1000","99.78211202938505"
"329","0","0.5","0","0.02","300","15","1000","99.78077134986233"
"331","0","0.5","0.25","0.02","300","15","1000","99.74905417814506"
"332","0","0.5","0.25","0.02","300","15","1000","99.73963269054188"
"333","0","0.5","0.25","0.02","300","15","1000","99.7492011019284"
"334","0","0.5","0.25","0.02","300","15","1000","99.75050505050515"
"335","0","0.5","0.25","0.02","300","15","1000","99.7648301193758"
"336","0","0.5","0.25","0.02","300","15","1000","99.75327823691471"
"337","0","0.5","0.25","0.02","300","15","1000","99.75142332415065"
"338","0","0.5","0.25","0.02","300","15","1000","99.75496786042252"
"340","0","0.5","0.25","0.02","300","15","1000","99.75067033976134"
"339","0","0.5","0.25","0.02","300","15","1000","99.7690174471994"
"341","0","0.5","0.25","0.02","300","15","1000","99.7647566574841"
"342","0","0.5","0.25","0.02","300","15","1000","99.74765840220397"
"343","0","0.5","0.25","0.02","300","15","1000","99.7506703397614"
"344","0","0.5","0.25","0.02","300","15","1000","99.75061524334262"
"345","0","0.5","0.25","0.02","300","15","1000","99.75270890725437"
"346","0","0.5","0.25","0.02","300","15","1000","99.76088154269995"
"348","0","0.5","0.25","0.02","300","15","1000","99.75362718090003"
"347","0","0.5","0.25","0.02","300","15","1000","99.75900826446286"
"349","0","0.5","0.25","0.02","300","15","1000","99.76426078971545"
"350","0","0.5","0.25","0.02","300","15","1000","99.75478420569343"
"352","0","0.5","0.25","0.02","300","15","1000","99.74148760330591"
"351","0","0.5","0.25","0.02","300","15","1000","99.7438934802573"
"353","0","0.5","0.25","0.02","300","15","1000","99.74824609733707"
"354","0","0.5","0.25","0.02","300","15","1000","99.74334251606969"
"355","0","0.5","0.25","0.02","300","15","1000","99.76137741046843"
"356","0","0.5","0.25","0.02","300","15","1000","99.74883379247028"
"357","0","0.5","0.25","0.02","300","15","1000","99.75823691460056"
"358","0","0.5","0.25","0.02","300","15","1000","99.74725436180005"
"359","0","0.5","0.25","0.02","300","15","1000","99.74040404040413"
"360","0","0.5","0.25","0.02","300","15","1000","99.7599449035813"
"361","0","0.5","0.5","0.02","300","15","1000","99.73230486685041"
"362","0","0.5","0.5","0.02","300","15","1000","99.7200000000002"
"363","0","0.5","0.5","0.02","300","15","1000","99.72468319559222"
"364","0","0.5","0.5","0.02","300","15","1000","99.72674012855842"
"365","0","0.5","0.5","0.02","300","15","1000","99.72170798898084"
"366","0","0.5","0.5","0.02","300","15","1000","99.73063360881567"
"367","0","0.5","0.5","0.02","300","15","1000","99.71561065197444"
"368","0","0.5","0.5","0.02","300","15","1000","99.7235996326906"
"369","0","0.5","0.5","0.02","300","15","1000","99.72486685032142"
"370","0","0.5","0.5","0.02","300","15","1000","99.73133149678618"
"371","0","0.5","0.5","0.02","300","15","1000","99.73140495867781"
"372","0","0.5","0.5","0.02","300","15","1000","99.72426078971532"
"374","0","0.5","0.5","0.02","300","15","1000","99.7254178145089"
"373","0","0.5","0.5","0.02","300","15","1000","99.73151515151527"
"375","0","0.5","0.5","0.02","300","15","1000","99.72534435261718"
"376","0","0.5","0.5","0.02","300","15","1000","99.71869605142362"
"377","0","0.5","0.5","0.02","300","15","1000","99.72795224977064"
"378","0","0.5","0.5","0.02","300","15","1000","99.7198898071626"
"379","0","0.5","0.5","0.02","300","15","1000","99.73902662993575"
"380","0","0.5","0.5","0.02","300","15","1000","99.71696969696988"
"381","0","0.5","0.5","0.02","300","15","1000","99.73228650137756"
"382","0","0.5","0.5","0.02","300","15","1000","99.73158861340688"
"383","0","0.5","0.5","0.02","300","15","1000","99.72921946740128"
"384","0","0.5","0.5","0.02","300","15","1000","99.72633608815437"
"385","0","0.5","0.5","0.02","300","15","1000","99.71643709825535"
"386","0","0.5","0.5","0.02","300","15","1000","99.71623507805326"
"387","0","0.5","0.5","0.02","300","15","1000","99.71584940312215"
"388","0","0.5","0.5","0.02","300","15","1000","99.73125803489472"
"389","0","0.5","0.5","0.02","300","15","1000","99.74488521579434"
"390","0","0.5","0.5","0.02","300","15","1000","99.71193755739212"
"391","0","0.5","0.75","0.02","300","15","1000","99.6953902662994"
"392","0","0.5","0.75","0.02","300","15","1000","99.71243342516094"
"393","0","0.5","0.75","0.02","300","15","1000","99.69267217630872"
"395","0","0.5","0.75","0.02","300","15","1000","99.68541781450881"
"394","0","0.5","0.75","0.02","300","15","1000","99.6949127640038"
"396","0","0.5","0.75","0.02","300","15","1000","99.71228650137748"
"397","0","0.5","0.75","0.02","300","15","1000","99.69862258953168"
"398","0","0.5","0.75","0.02","300","15","1000","99.70703397612493"
"399","0","0.5","0.75","0.02","300","15","1000","99.69731864095505"
